"dept","comm","year","week","price"
"AISNE","SOISSONS",1845,17,1763
"AISNE","SOISSONS",1845,18,1943
"AISNE","SOISSONS",1845,19,1907
"AISNE","SOISSONS",1845,20,1980
"AISNE","SOISSONS",1845,21,2055
"AISNE","SOISSONS",1845,22,2051
"AISNE","SOISSONS",1845,23,2110
"AISNE","SOISSONS",1845,24,2160
"AISNE","SOISSONS",1846,1,2133
"AISNE","SOISSONS",1846,2,2162
"AISNE","SOISSONS",1846,3,2166
"AISNE","SOISSONS",1846,4,2149
"AISNE","SOISSONS",1846,5,2040
"AISNE","SOISSONS",1846,6,2033
"AISNE","SOISSONS",1846,7,2026
"AISNE","SOISSONS",1846,8,1951
"AISNE","SOISSONS",1846,9,1972
"AISNE","SOISSONS",1846,10,2113
"AISNE","SOISSONS",1846,11,2243
"AISNE","SOISSONS",1846,12,2344
"AISNE","SOISSONS",1846,13,2261
"AISNE","SOISSONS",1846,15,2447
"AISNE","SOISSONS",1846,16,2503
"AISNE","SOISSONS",1846,17,2529
"AISNE","SOISSONS",1846,18,2632
"AISNE","SOISSONS",1846,19,2674
"AISNE","SOISSONS",1846,20,2775
"AISNE","SOISSONS",1846,21,2885
"AISNE","SOISSONS",1846,22,2858
"AISNE","SOISSONS",1846,23,2912
"AISNE","SOISSONS",1846,24,3009
"AISNE","SOISSONS",1847,1,3050
"AISNE","SOISSONS",1847,2,3446
"AISNE","SOISSONS",1847,3,3510
"AISNE","SOISSONS",1847,4,3704
"AISNE","SOISSONS",1847,5,4028
"AISNE","SOISSONS",1847,6,4076
"AISNE","SOISSONS",1847,7,3799
"AISNE","SOISSONS",1847,8,4133
"AISNE","SOISSONS",1847,9,4233
"AISNE","SOISSONS",1847,10,3975
"AISNE","SOISSONS",1847,11,3695
"AISNE","SOISSONS",1847,12,3803
"AISNE","SOISSONS",1847,13,3516
"AISNE","SOISSONS",1847,16,2215
"AISNE","SOISSONS",1847,17,2288
"AISNE","SOISSONS",1847,18,2236
"AISNE","SOISSONS",1847,19,2115
"AISNE","SOISSONS",1847,20,1978
"AISNE","SOISSONS",1847,21,1761
"AISNE","SOISSONS",1847,22,1797
"AISNE","SOISSONS",1847,23,1872
"AISNE","SOISSONS",1847,24,1912
"AISNE","SOISSONS",1848,1,1873
"AISNE","SOISSONS",1848,2,1847
"AISNE","SOISSONS",1848,3,1783
"AISNE","SOISSONS",1848,4,1647
"AISNE","SOISSONS",1848,5,1495
"AISNE","SOISSONS",1848,6,1304
"AISNE","SOISSONS",1848,7,1183
"AISNE","SOISSONS",1848,8,1341
"AISNE","SOISSONS",1848,9,1376
"AISNE","SOISSONS",1848,10,1313
"AISNE","SOISSONS",1848,11,1271
"AISNE","SOISSONS",1848,12,1280
"AISNE","SOISSONS",1848,13,1294
"AISNE","SOISSONS",1848,14,1235
"AISNE","SOISSONS",1848,16,1388
"AISNE","SOISSONS",1848,17,1483
"AISNE","SOISSONS",1848,18,1511
"AISNE","SOISSONS",1848,19,1510
"AISNE","SOISSONS",1848,20,1425
"AISNE","SOISSONS",1848,21,1393
"AISNE","SOISSONS",1848,22,1428
"AISNE","SOISSONS",1848,23,1384
"AISNE","SOISSONS",1848,24,1459
"AISNE","SOISSONS",1849,1,1433
"AISNE","SOISSONS",1849,2,1400
"AISNE","SOISSONS",1849,3,1443
"AISNE","SOISSONS",1849,4,1427
"AISNE","SOISSONS",1849,5,1477
"AISNE","SOISSONS",1849,6,1509
"AISNE","SOISSONS",1849,7,1490
"AISNE","SOISSONS",1849,8,1556
"AISNE","SOISSONS",1849,9,1536
"AISNE","SOISSONS",1849,10,1564
"AISNE","SOISSONS",1849,11,1567
"AISNE","SOISSONS",1849,12,1587
"AISNE","SOISSONS",1849,13,1615
"AISNE","SOISSONS",1849,14,1716
"AISNE","SOISSONS",1849,15,1795
"AISNE","SOISSONS",1849,16,1587
"AISNE","SOISSONS",1849,17,1533
"AISNE","SOISSONS",1849,18,1462
"AISNE","SOISSONS",1849,19,1358
"AISNE","SOISSONS",1849,20,1391
"AISNE","SOISSONS",1849,21,1363
"AISNE","SOISSONS",1849,22,1370
"AISNE","SOISSONS",1849,23,1376
"AISNE","SOISSONS",1849,24,1354
"AISNE","SOISSONS",1850,1,1390
"AISNE","SOISSONS",1850,2,1379
"AISNE","SOISSONS",1850,3,1341
"AISNE","SOISSONS",1850,4,1317
"AISNE","SOISSONS",1850,5,1332
"AISNE","SOISSONS",1850,6,1282
"AISNE","SOISSONS",1850,7,1251
"AISNE","SOISSONS",1850,8,1243
"AISNE","SOISSONS",1850,9,1315
"AISNE","SOISSONS",1850,10,1346
"AISNE","SOISSONS",1850,11,1335
"AISNE","SOISSONS",1850,12,1318
"AISNE","SOISSONS",1850,13,1336
"AISNE","SOISSONS",1850,14,1383
"AISNE","SOISSONS",1850,16,1543
"AISNE","SOISSONS",1850,17,1437
"AISNE","SOISSONS",1850,18,1431
"AISNE","SOISSONS",1850,19,1362
"AISNE","SOISSONS",1850,20,1679
"AISNE","SOISSONS",1850,21,1356
"AISNE","SOISSONS",1850,22,1327
"AISNE","SOISSONS",1850,23,1333
"AISNE","SOISSONS",1850,24,1336
"AISNE","SOISSONS",1851,1,1312
"AISNE","SOISSONS",1851,2,1279
"AISNE","SOISSONS",1851,3,1243
"AISNE","SOISSONS",1851,4,1128
"AISNE","SOISSONS",1851,5,1233
"AISNE","SOISSONS",1851,6,1248
"AISNE","SOISSONS",1851,7,1310
"AISNE","SOISSONS",1851,8,1250
"AISNE","SOISSONS",1851,9,1304
"AISNE","SOISSONS",1851,10,1334
"AISNE","SOISSONS",1851,11,1466
"AISNE","SOISSONS",1851,12,1570
"AISNE","SOISSONS",1851,13,1566
"AISNE","SOISSONS",1851,14,1539
"AISNE","SOISSONS",1851,15,1543
"AISNE","SOISSONS",1851,16,1616
"AISNE","SOISSONS",1851,17,1486
"AISNE","SOISSONS",1851,18,1516
"AISNE","SOISSONS",1851,19,1485
"AISNE","SOISSONS",1851,20,1460
"AISNE","SOISSONS",1851,21,1495
"AISNE","SOISSONS",1851,22,1568
"AISNE","SOISSONS",1851,23,1627
"AISNE","SOISSONS",1851,24,1752
"AISNE","SOISSONS",1852,1,1901
"AISNE","SOISSONS",1852,2,1869
"AISNE","SOISSONS",1852,3,1853
"AISNE","SOISSONS",1852,4,1863
"AISNE","SOISSONS",1852,5,1858
"AISNE","SOISSONS",1852,6,1883
"AISNE","SOISSONS",1852,7,1729
"AISNE","SOISSONS",1852,8,1743
"AISNE","SOISSONS",1852,9,1654
"AISNE","SOISSONS",1852,10,1573
"AISNE","SOISSONS",1852,11,1550
"AISNE","SOISSONS",1852,12,1682
"AISNE","SOISSONS",1852,13,1556
"AISNE","SOISSONS",1852,14,1529
"AISNE","SOISSONS",1852,15,1665
"AISNE","SOISSONS",1852,16,1625
"AISNE","SOISSONS",1852,17,1640
"AISNE","SOISSONS",1852,18,1687
"AISNE","SOISSONS",1852,19,1750
"AISNE","SOISSONS",1852,20,1789
"AISNE","SOISSONS",1852,21,1765
"AISNE","SOISSONS",1852,22,1850
